# Input: ./youtube_pruned.txt
# Nodes: 40852    Edges: 834676
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.585477
# Communities: 51
# NId	CommunityId
1	0
2	0
4	0
11	0
13	0
14	0
15	0
18	0
22	0
376	0
1219	0
40	0
106	0
107	0
126	0
134	0
242	0
247	0
276	0
291	0
341	0
363	0
365	0
367	0
404	0
446	0
455	0
480	0
495	0
514	0
534	0
688	0
718	0
723	0
730	0
762	0
776	0
797	0
803	0
839	0
840	0
847	0
848	0
851	0
881	0
882	0
903	0
940	0
967	0
1009	0
1070	0
1085	0
1180	0
1183	0
1225	0
1227	0
1244	0
1258	0
1270	0
1708	0
1999	0
2059	0
2235	0
2243	0
2246	0
2254	0
2266	0
2844	0
2892	0
2974	0
3100	0
3102	0
3120	0
3173	0
3193	0
3356	0
3359	0
3361	0
3364	0
3367	0
3368	0
3370	0
3371	0
3372	0
3373	0
3376	0
3379	0
3380	0
3385	0
3389	0
3395	0
3400	0
3402	0
3403	0
3404	0
3405	0
3406	0
3408	0
3409	0
3413	0
3414	0
3416	0
3421	0
3423	0
3424	0
3428	0
3430	0
3433	0
3434	0
3438	0
3439	0
3440	0
3444	0
3445	0
3447	0
3448	0
3451	0
3453	0
3458	0
3459	0
3464	0
3471	0
3472	0
3475	0
3478	0
3479	0
3480	0
3482	0
3483	0
3488	0
3491	0
3492	0
3493	0
3494	0
3497	0
3498	0
3499	0
3501	0
3504	0
3696	0
3825	0
6718	0
11682	0
19584	0
21633	0
43284	0
90019	0
261504	0
262985	0
312341	0
427231	0
620269	0
663576	0
45	0
47	0
63	0
68	0
77	0
78	0
91	0
100	0
104	0
114	0
115	0
117	0
121	0
140	0
142	0
165	0
183	0
195	0
204	0
210	0
213	0
249	0
269	0
297	0
349	0
384	0
391	0
402	0
406	0
407	0
420	0
448	0
468	0
470	0
496	0
511	0
518	0
519	0
530	0
556	0
622	0
631	0
707	0
710	0
743	0
745	0
760	0
773	0
806	0
811	0
822	0
826	0
832	0
834	0
844	0
845	0
850	0
863	0
866	0
868	0
875	0
879	0
884	0
888	0
890	0
902	0
908	0
913	0
929	0
946	0
952	0
998	0
999	0
1025	0
1072	0
1087	0
1091	0
1102	0
1105	0
